TypeHuishouden,TypeHuis,Slaapkamer,Badkamer/Toilet,Keuken,Vrijetijds- of studieruimte,Opslagruimte,Tuinruimte,InkomenHuishouden,Leeftijd_Uzelf,Leeftijd_Huisgenoten,Geslacht_Uzelf,Geslacht_Huisgenoten,Educatie_Uzelf,Educatie_Huisgenoten,Tech_Uzelf,Tech_Huisgenoten,Home-Uzelf,Home_Huisgenoten,Duurzaamheid_Nom,Beveiliging_Nom,Gemak_Nom,Privacy_Nom,Personalisatie_Nom,Controle_Nom,Duurzaamheid_Num,Beveiliging_Num,Gemak_Num,Privacy_Num,Personalisatie_Num,Controle_Num,Climate_Always,Climate_Home,Climate_Awake,Climate_Nooit,Lights_Zonlicht,Lights_Beweging,Lights_Verlaten,Lights_Bedtijd,Lights_Nooit,Security_Always,Security_Movement,Security_Vacated,Security_Sleeping,Security_Never,Programming_Myself,Programming_Partner,Programming_Occupant,Programming_Company,Notification_Movement,Notification_Alarm,Notification_Doorbell,Notification_Traffic,Notification_Energy,Notification_Never
Samenwonend enkel met partner,2-onder-1-kapwoning,2,1,1,1,1,1,4,5,5,Man,Vrouw,2,2,3,1,3,4,Eens,Enigszins oneens,Enigszins oneens,Oneens,Oneens,Enigszins oneens,5,3,3,2,2,3,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Ja
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,4,2,1,1,1,1,2,3,3,Vrouw,Mixed,3,3,3,3,5,4,Erg eens,Erg eens,Erg eens,Enigszins oneens,Erg eens,Erg eens,7,7,7,3,7,7,Nee,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,0,1,1,1,1,1,1,3,3,Man,Man,3,3,3,3,5,5,Oneens,Neutraal,Eens,Enigszins eens,Eens,Enigszins eens,2,4,5,5,5,5,Nee,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee
Samenwonend enkel met partner,2-onder-1-kapwoning,3,2,1,1,1,1,2,3,3,Man,Vrouw,3,3,4,3,4,4,Enigszins eens,Enigszins eens,Eens,Neutraal,Erg eens,Eens,5,5,5,4,7,5,Nee,Nee,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Nee
Samenwonend met partner en kind(eren),2-onder-1-kapwoning,4,2,1,1,1,2,4,5,2,Man,Vrouw,2,3,2,3,3,3,Enigszins eens,Eens,Eens,Oneens,Neutraal,Neutraal,5,5,5,2,4,4,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,4,3,1,1,2,1,3,3,3,Vrouw,Mixed,3,3,3,3,3,3,Erg eens,Enigszins eens,Eens,Neutraal,Eens,Eens,7,5,5,4,5,5,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Nee,Nee,Nee
Samenwonend met partner en kind(eren),2-onder-1-kapwoning,3,2,1,1,2,1,4,5,2,Vrouw,Mixed,3,3,2,2,3,3,Enigszins eens,Enigszins eens,Neutraal,Neutraal,Enigszins eens,Erg oneens,5,5,4,4,5,1,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Ja
Samenwonend enkel met partner,2-onder-1-kapwoning,4,2,1,1,2,1,3,3,3,Vrouw,Man,2,3,1,4,3,3,Eens,Erg eens,Eens,Eens,Erg eens,Eens,5,7,5,5,7,5,Nee,Nee,Ja,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,4,2,1,0,0,2,1,3,3,Vrouw,Vrouw,3,3,3,3,4,4,Eens,Enigszins oneens,Enigszins oneens,Enigszins eens,Enigszins oneens,Enigszins eens,5,3,3,5,3,5,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Nee,Nee,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,2,1,1,0,1,3,3,3,Man,Man,3,3,3,4,5,5,Erg eens,Enigszins oneens,Enigszins eens,Enigszins oneens,Erg oneens,Neutraal,7,3,5,3,1,4,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Nee,Ja,Nee
Samenwonend enkel met partner,2-onder-1-kapwoning,3,2,1,1,1,1,4,4,5,Vrouw,Man,3,2,1,2,3,2,Neutraal,Eens,Eens,Eens,Oneens,Neutraal,4,5,5,5,2,4,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja
Samenwonend enkel met partner,Tussenwoning/hoekwoning,3,2,1,1,2,2,4,6,5,Man,Vrouw,3,2,2,1,3,5,Eens,Enigszins eens,Eens,Enigszins eens,Eens,Enigszins eens,5,5,5,5,5,5,Nee,Ja,Nee,Nee,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,4,3,2,0,1,1,1,3,3,Man,Mixed,3,3,4,2,4,5,Erg eens,Neutraal,Eens,Erg oneens,Erg eens,Erg eens,7,4,5,1,7,7,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Nee
Samenwonend enkel met partner,Appartement,2,1,1,1,1,0,4,3,4,Vrouw,Vrouw,3,3,3,1,2,2,Neutraal,Eens,Enigszins eens,Neutraal,Neutraal,Enigszins eens,4,5,5,4,4,5,Nee,Nee,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,4,2,1,1,0,1,1,3,3,Vrouw,Mixed,3,3,3,3,5,4,Eens,Enigszins eens,Enigszins eens,Oneens,Enigszins eens,Enigszins eens,5,5,5,2,5,5,Nee,Nee,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee
Alleenstaande ouder met kind(eren),Tussenwoning/hoekwoning,3,2,1,2,1,2,2,2,5,Vrouw,Man,2,2,2,3,2,2,Erg eens,Eens,Erg eens,Neutraal,Erg eens,Erg eens,7,5,7,4,7,7,Nee,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee
Samenwonend enkel met partner,Vrijstaande woning,4,3,1,1,2,2,3,3,3,Man,Vrouw,2,2,3,2,3,3,Eens,Eens,Eens,Eens,Eens,Eens,5,5,5,5,5,5,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,3,1,1,1,1,0,1,3,3,Vrouw,Vrouw,3,3,3,3,4,4,Eens,Eens,Eens,Oneens,Eens,Neutraal,5,5,5,2,5,4,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,3,1,1,1,1,0,2,3,3,Vrouw,Vrouw,3,3,3,3,2,4,Erg eens,Enigszins oneens,Neutraal,Neutraal,Eens,Eens,7,3,4,4,5,5,Nee,Nee,Nee,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee
Samenwonend enkel met partner,Tussenwoning/hoekwoning,3,2,1,1,1,1,3,5,5,Man,Vrouw,2,2,1,1,3,3,Eens,Oneens,Neutraal,Enigszins eens,Neutraal,Enigszins eens,5,2,4,5,4,5,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee
Samenwonend enkel met partner,Tussenwoning/hoekwoning,4,1,1,1,1,1,3,6,6,Man,Vrouw,3,3,3,2,5,5,Eens,Eens,Eens,Eens,Eens,Eens,5,5,5,5,5,5,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,4,1,1,0,1,1,1,3,3,Man,Mixed,3,3,4,2,3,4,Neutraal,Erg eens,Erg eens,Erg oneens,Erg eens,Oneens,4,7,7,1,7,2,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee
Samenwonend enkel met partner,2-onder-1-kapwoning,2,1,1,1,0,1,3,5,5,Vrouw,Man,2,2,0,3,3,3,Erg eens,Eens,Neutraal,Neutraal,Enigszins eens,Enigszins oneens,7,5,4,4,5,3,Nee,Nee,Nee,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,4,4,1,0,0,0,1,3,3,Vrouw,Mixed,3,2,3,2,4,3,Erg eens,Enigszins eens,Eens,Oneens,Enigszins eens,Neutraal,7,5,5,2,5,4,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Ja,Nee
Samenwonend enkel met partner,Tussenwoning/hoekwoning,3,2,1,0,1,1,2,6,6,Man,Vrouw,1,1,2,1,5,5,Eens,Oneens,Enigszins eens,Oneens,Oneens,Neutraal,5,2,5,2,2,4,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Vrijstaande woning,4,1,1,0,1,1,2,3,3,Man,Man,3,3,3,3,4,4,Eens,Eens,Eens,Eens,Eens,Enigszins eens,5,5,5,5,5,5,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,4,2,1,0,1,0,1,3,3,Vrouw,Man,3,3,0,1,5,5,Erg eens,Enigszins eens,Neutraal,Neutraal,Enigszins eens,Oneens,7,5,4,4,5,2,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Nee
Samenwonend enkel met partner,Tussenwoning/hoekwoning,1,2,1,2,2,1,3,3,3,Man,Vrouw,3,3,4,4,4,4,Eens,Oneens,Neutraal,Oneens,Neutraal,Oneens,5,2,4,2,4,2,Nee,Nee,Nee,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,1,1,1,0,2,2,1,3,3,Vrouw,Mixed,3,3,3,3,5,5,Eens,Neutraal,Enigszins eens,Eens,Eens,Neutraal,5,4,5,5,5,4,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,4,1,1,0,2,0,1,3,3,Vrouw,Mixed,3,3,3,3,5,5,Enigszins eens,Enigszins eens,Erg eens,Enigszins oneens,Erg eens,Eens,5,5,7,3,7,5,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,4,2,1,0,1,0,1,3,3,Man,Mixed,3,3,3,3,4,4,Eens,Enigszins eens,Erg eens,Enigszins eens,Erg eens,Erg eens,5,5,7,5,7,7,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,4,3,2,4,1,1,1,3,3,Vrouw,Man,3,3,2,2,1,3,Eens,Neutraal,Eens,Eens,Eens,Neutraal,5,4,5,5,5,4,Nee,Ja,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Nee,Nee,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,4,2,1,0,0,1,2,3,3,Man,Man,3,3,4,4,4,3,Enigszins eens,Eens,Erg eens,Enigszins eens,Eens,Neutraal,5,5,7,5,5,4,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,4,4,1,0,4,1,3,3,3,Man,Man,3,3,4,3,5,5,Eens,Neutraal,Oneens,Erg oneens,Eens,Neutraal,5,4,2,1,5,4,Nee,Nee,Nee,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee
Samenwonend enkel met partner,Tussenwoning/hoekwoning,1,2,1,3,2,1,4,3,3,Man,Vrouw,3,3,4,3,4,4,Erg eens,Enigszins eens,Erg eens,Enigszins eens,Erg eens,Enigszins eens,7,5,7,5,7,5,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,4,2,2,1,2,1,1,3,3,Man,Man,3,3,3,3,4,3,Enigszins eens,Eens,Erg eens,Enigszins oneens,Eens,Eens,5,5,7,3,5,5,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Ja,Nee,Ja,Ja,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,4,1,1,0,0,0,1,3,3,Vrouw,Vrouw,3,3,3,3,4,3,Enigszins oneens,Erg eens,Enigszins eens,Neutraal,Eens,Enigszins oneens,3,7,5,4,5,3,Nee,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Nee
